Elapsed time,HTTP Request (failure)
19:22:54.0,2.0
19:22:55.0,1.0
19:22:56.0,1.0
19:22:57.0,2.0
19:22:58.0,2.0
19:22:59.0,1.0
19:23:00.0,4.0
19:23:01.0,2.0
19:23:02.0,3.0
19:23:03.0,2.0
19:23:04.0,5.0
19:23:05.0,4.0
19:23:06.0,4.0
19:23:07.0,5.0
19:23:08.0,2.0
19:23:09.0,7.0
19:23:10.0,5.0
19:23:11.0,6.0
19:23:12.0,3.0
19:23:13.0,7.0
19:23:14.0,5.0
19:23:15.0,7.0
19:23:16.0,8.0
19:23:17.0,5.0
19:23:18.0,8.0
19:23:19.0,7.0
19:23:20.0,9.0
19:23:21.0,8.0
19:23:22.0,7.0
19:23:23.0,9.0
19:23:24.0,7.0
19:23:25.0,9.0
19:23:26.0,8.0
19:23:27.0,7.0
19:23:28.0,9.0
19:23:29.0,7.0
19:23:30.0,9.0
19:23:31.0,8.0
19:23:32.0,7.0
19:23:33.0,9.0
19:23:34.0,7.0
19:23:35.0,9.0
19:23:36.0,8.0
19:23:37.0,7.0
19:23:38.0,9.0
19:23:39.0,6.0
19:23:40.0,7.0
19:23:41.0,8.0
19:23:42.0,7.0
19:23:43.0,9.0
19:23:44.0,9.0
19:23:45.0,6.0
19:23:46.0,8.0
19:23:47.0,9.0
19:23:48.0,8.0
19:23:49.0,9.0
19:23:50.0,6.0
19:23:51.0,8.0
19:23:52.0,8.0
19:23:53.0,9.0
